id,startedAt,finishedAt,trigger,status,recordsFound,recordsNew,errorMessage,providersUsed
cmrrhuvp6000j04icdwsqeoyq,2026-07-19 07:48:34.17,,manual,running,0,0,,
cmrrhux1b000k04icp0wgz1pl,2026-07-19 07:48:35.903,,manual,running,0,0,,
cmrrxc2vj0001enbr5fs8irfc,2026-07-19 15:01:50.863,2026-07-19 15:02:31.601,manual,success,0,0,,
cmrrxgmnh0002enbre6qwh7kb,2026-07-19 15:05:23.117,2026-07-19 15:06:03.045,manual,success,15,0,,
cmrrxk74g0004enbr0dbj1hn9,2026-07-19 15:08:09.616,2026-07-19 15:08:47.133,manual,success,0,0,,
cmrrxnn9n0007enbrtfqe0i3f,2026-07-19 15:10:50.507,2026-07-19 15:11:31.354,manual,success,0,0,,
cmrrxpd0w0008enbrhtpkprqu,2026-07-19 15:12:10.545,2026-07-19 15:12:49.754,manual,success,15,0,,
cmrrxsvqr0009enbrt1t9j37y,2026-07-19 15:14:54.771,2026-07-19 15:15:33.964,manual,success,15,0,,
cmrrxys9k000aenbri8tipfoq,2026-07-19 15:19:30.2,2026-07-19 15:20:07.289,manual,success,15,0,,
cmrry1ibk000cenbr80gllyo8,2026-07-19 15:21:37.28,2026-07-19 15:33:43.401,manual,failed,0,0,Exited with code 1,
cmrs011he0001iibr5ympka9c,2026-07-19 16:17:14.69,2026-07-19 16:24:11.493,manual,failed,0,0,Exited with code 1,
cmrs138fj00013ibr71zblw9r,2026-07-19 16:46:56.623,2026-07-19 17:15:09.185,manual,success,4371,225,,
cmrs29g7x0002w6br8js81r8k,2026-07-19 17:19:46.27,2026-07-19 17:22:54.715,manual,success,0,0,,
cmrs24i120001w6br4y4tssby,2026-07-19 17:15:55.334,2026-07-19 17:45:41.757,manual,success,4371,0,,
cmrs3b3jn0004w6br5ds6sixl,2026-07-19 17:49:02.771,2026-07-19 17:52:31.111,manual,success,0,0,,
cmrs3o4pg0006w6bri3sphsho,2026-07-19 17:59:10.804,2026-07-19 18:01:50.91,manual,success,10,0,,
cmrs3mtmc0005w6briwen3rx1,2026-07-19 17:58:09.78,2026-07-19 18:02:19.888,manual,success,0,0,,
cmrs4jdos0007w6bryqzrbk2d,2026-07-19 18:23:28.78,2026-07-19 18:25:46.963,manual,success,10,0,,
cmrs4q6xv0009w6br2m6ksipf,2026-07-19 18:28:46.627,2026-07-19 18:31:08.159,manual,success,0,0,,
cmrs57x1a000bw6br5lqvufo5,2026-07-19 18:42:33.598,2026-07-19 18:46:11.895,manual,success,19,19,,
cmrs5cxu3000dw6br8b5rfbe6,2026-07-19 18:46:27.915,2026-07-19 19:03:12.696,manual,success,3,3,,
cmrs6k9dt000fw6brv1n9jg3w,2026-07-19 19:20:09.089,2026-07-19 19:20:46.694,manual,success,0,0,,
cmrs7805i000hw6brve9vllg1,2026-07-19 19:38:36.87,2026-07-19 19:38:49.644,manual,success,0,0,,
cmrs80erd0001kpbrue7vl4uw,2026-07-19 20:00:42.17,2026-07-19 20:01:21.088,manual,success,0,0,,
cmrsmztg4000004l797xxsb9s,2026-07-20 03:00:08.788,,scheduled,running,0,0,,
cmrsn07a2000104l7c1jkpnq7,2026-07-20 03:00:26.714,,manual,running,0,0,,
cmrsn07cp000204l7mdcqbgl1,2026-07-20 03:00:26.809,,manual,running,0,0,,
cmrsn081b000004l12iz4wxs5,2026-07-20 03:00:27.695,,manual,running,0,0,,
cmrsn081i000004jxuaikn8dn,2026-07-20 03:00:27.702,,manual,running,0,0,,
cmrsn081o000004kwekgzzs3j,2026-07-20 03:00:27.708,,manual,running,0,0,,
cmrsn0823000004l5lr2zh618,2026-07-20 03:00:27.723,,manual,running,0,0,,
cmrsn0827000004jwtshp4jja,2026-07-20 03:00:27.727,,manual,running,0,0,,
cmrsn082c000004ld2fb03ged,2026-07-20 03:00:27.732,,manual,running,0,0,,
cmrsn082g000004jru4dpg742,2026-07-20 03:00:27.736,,manual,running,0,0,,
cmrsn082i000004kyaij98own,2026-07-20 03:00:27.738,,manual,running,0,0,,
cmrsn0831000004l1dm6kskpl,2026-07-20 03:00:27.758,,manual,running,0,0,,
cmrsn083x000004jv19h3h4hl,2026-07-20 03:00:27.789,,manual,running,0,0,,
cmrsqsr920003kpbrl57qlrxp,2026-07-20 04:46:37.814,2026-07-20 04:47:02.37,manual,success,0,0,,
cmrsreoiw0005kpbrpkibgqkv,2026-07-20 05:03:40.713,2026-07-20 05:04:26.395,manual,success,0,0,,
cmrsrl62s0007kpbrt9stmqdn,2026-07-20 05:08:43.396,2026-07-20 05:09:28.659,manual,success,0,0,,
cmrsrtzgv0009kpbrnogq28yb,2026-07-20 05:15:34.736,2026-07-20 06:17:14.546,manual,success,434,434,,
db3a1b90-4f86-431f-8bb2-066a9e099722,2026-07-20 05:21:19.03,2026-07-20 05:22:51.119,manual,success,142,14,,"{""groq"": {""tokens"": 13648, ""requests"": 12, ""remainingTokens"": 86352, ""dailyLimitTokens"": 100000, ""remainingRequests"": 988, ""dailyLimitRequests"": 1000}, ""jina"": {""tokens"": 0, ""requests"": 143, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 57, ""dailyLimitRequests"": 200}, ""brave"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 66, ""dailyLimitRequests"": 66}, ""tavily"": {""tokens"": 0, ""requests"": 42, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 33}, ""webpeel"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 125, ""dailyLimitRequests"": 125}, ""_devMode"": false, ""firecrawl"": {""tokens"": 0, ""requests"": 20, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 16}, ""duckduckgo"": {""tokens"": 0, ""requests"": 186, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": -1, ""dailyLimitRequests"": -1}, ""openrouter"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": 500000, ""dailyLimitTokens"": 500000, ""remainingRequests"": 200, ""dailyLimitRequests"": 200}}"
a2d18f03-1d3e-4774-af9a-ea58f358e0fb,2026-07-20 05:30:57.243,2026-07-20 05:31:35.014,manual,success,0,0,,"{""groq"": {""tokens"": 13648, ""requests"": 12, ""remainingTokens"": 86352, ""dailyLimitTokens"": 100000, ""remainingRequests"": 988, ""dailyLimitRequests"": 1000}, ""jina"": {""tokens"": 0, ""requests"": 143, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 57, ""dailyLimitRequests"": 200}, ""brave"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 66, ""dailyLimitRequests"": 66}, ""tavily"": {""tokens"": 0, ""requests"": 42, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 33}, ""webpeel"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 125, ""dailyLimitRequests"": 125}, ""_devMode"": false, ""firecrawl"": {""tokens"": 0, ""requests"": 20, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 16}, ""duckduckgo"": {""tokens"": 0, ""requests"": 446, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": -1, ""dailyLimitRequests"": -1}, ""openrouter"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": 500000, ""dailyLimitTokens"": 500000, ""remainingRequests"": 200, ""dailyLimitRequests"": 200}}"
58951a90-041c-44fd-826b-dd61fe955f38,2026-07-20 15:42:08.962,,manual,running,0,0,,
cmrwfqjb70000g8brv0qf8o7v,2026-07-22 18:48:03.139,,manual,running,0,0,,"{""venues"": ""jina+puppeteer""}"
cmrx4rpen00008gbr8tyb1qnf,2026-07-23 06:28:48.099,,manual,running,0,0,,
cmrx4rtoi00000tbrclrbhqtz,2026-07-23 06:28:53.634,,manual,running,0,0,,"{""venues"": ""jina+puppeteer""}"
